column,variance
C18_positive|IK:AMZAIPJCFMJTPM-UHFFFAOYSA-N,29428875.958386965
C18_positive|IK:ZBVKFVTUHVIICH-UHFFFAOYSA-N,82434532.76101908
C18_positive|IK:MFQIWHVVFBCURA-LKBAIHPRSA-N,91425250.26861295
C18_positive|IK:RBKWJAHRWPDNPM-UHFFFAOYSA-N,94678946.57250771
C18_negative|IK:VYELCIXMHUBNAL-UHFFFAOYSA-N,139506729.52099407
C18_positive|IK:XDEIKTUBWBCMDT-UHFFFAOYSA-N,141632220.00755262
C18_positive|IK:IJKRDVKGCQRKBI-UHFFFAOYSA-N,141889644.23163578
C18_positive|IK:KWXCZSMMAKGXBP-DSADJFPISA-N,147106544.47202784
C18_positive|IK:CTMNHOOSFSITGN-UHFFFAOYSA-N,158040941.314906
C18_negative|IK:QRMZSPFSDQBLIX-UHFFFAOYSA-N,172253245.6142241
C18_negative|IK:MFQIWHVVFBCURA-LKBAIHPRSA-N,188737490.39424184
C18_negative|IK:IRZVHDLBAYNPCT-UHFFFAOYSA-N,189881360.60914692
C18_positive|IK:ADQWZZPCGOXVIC-UHFFFAOYSA-N,206788448.9354993
C18_negative|IK:UGQAKFHZWJRAJC-UHFFFAOYSA-N,221625929.2465746
C18_negative|IK:PSEBCAMYGWGJMH-UHFFFAOYSA-N,225813982.32336533
C18_negative|IK:JLIDBLDQVAYHNE-YKALOCIXSA-N,229747029.24991873
C18_negative|IK:WDODWBQJVMBHCO-UHFFFAOYSA-N,239900101.98383695
C18_positive|IK:KONAXQKGWYDUTG-UHFFFAOYSA-N,244905980.8678138
C18_positive|IK:AKARZXADDNXORH-WQVLWSBKSA-N,247480828.51937088
C18_positive|IK:AQRQHYITOOVBTO-UHFFFAOYSA-N,315930311.55110675
C18_positive|IK:KMQUGCQVIDIVLT-CKNMYDPISA-N,325834337.43583477
HILICZ_negative|IK:CAOMCZAIALVUPA-UHFFFAOYSA-N,338079386.93980414
C18_positive|IK:FSLDBYNJYAUPDI-FIWXFAFXSA-N,352403889.5821647
C18_negative|IK:JDNUVLAJLPVYNP-SWMGHYKJSA-N,364016691.4030766
C18_positive|IK:CIGQQQTZOIDQQR-SGWMQEFOSA-N,383772518.50662524
C18_negative|IK:NGSWKAQJJWESNS-UHFFFAOYSA-N,385654367.4382614
C18_negative|IK:LCUILCDHTJZGOQ-UHFFFAOYSA-N,405800590.5138638
C18_positive|IK:SFHGIKBNUCLDBR-UHFFFAOYSA-N,467234842.2113872
C18_positive|IK:HVYWMOMLDIMFJA-DPAQBDIFSA-N,467366797.6608632
C18_positive|IK:VOYCJQSSBDMXNQ-YZGKFDMESA-N,480515837.4082728
