metabolite,r2,rmse
HILICZ_negative|IK:ODHCTXKNWHHXJC-UHFFFAOYSA-N,0.1627802108342501,0.9244199603177166
HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,0.1554902969393548,0.9546767366582886
HILICZ_negative|IK:RYWDJUUPROVLNV-LXFHESFISA-N,0.14050902662375075,0.9380039581291951
HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N,0.12389224388144793,0.9642371272177684
HILICZ_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.09431548512926036,0.9726116128812946
HILICZ_negative|IK:GFFGJBXGBJISGV-UHFFFAOYSA-N,0.09127572833739339,0.9719871436364595
C18_positive|IK:ZUUPZDSDPDQRJK-VXPJCVMDSA-N,0.08424059507604842,0.943539139291955
HILICZ_negative|IK:WHBMMWSBFZVSSR-GSVOUGTGSA-N,0.029691704136236785,1.012067634213352
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,-0.040726547162611926,0.8612551272395569
HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,-0.06489281726244966,0.9888721519581887
