metabolite,mean_r2,std_r2,mean_rmse,zero_fraction,predictability_class,assay
C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6270071367326707,0.122484136047117,3.803709842924015,0.419047619047619,strong,C18_negative
C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,0.5402344177738825,0.1490153355364927,3.296063234194918,0.7238095238095238,strong,C18_positive
C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5259169762325082,0.1310450385843312,3.670410305352626,0.5523809523809524,strong,C18_negative
C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.4251560768231325,0.1702356169760661,3.5515067172141537,0.7619047619047619,strong,C18_negative
C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,0.4134549296256981,0.2099966348442521,4.492308257105132,0.5714285714285714,strong,C18_positive
C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.4009690176676777,0.1756462848509124,4.194820979785412,0.8571428571428571,strong,C18_negative
C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.3993812969241059,0.2165076134336471,4.224067885092016,0.4666666666666667,strong,C18_negative
C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.3795224843753771,0.0993317438464611,4.058709340884631,0.6857142857142857,strong,C18_negative
C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,0.3751762218244152,0.1154039073488198,4.522875102882021,0.5047619047619047,strong,C18_positive
HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.3673770313652149,0.1826900275144654,5.000647773722671,0.6285714285714286,strong,HILICZ_positive
C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3660031575100643,0.155238227808691,1.3556326188488887,0.0,strong,C18_negative
C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,0.3556712382062378,0.0779053780241314,3.4075305979897488,0.780952380952381,strong,C18_positive
C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.3471710845771482,0.1522646062351169,1.069633023293289,0.0,strong,C18_positive
C18_positive|NAME:,0.3079350910827062,0.128063902885127,0.5458200402624873,0.0,strong,C18_positive
C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.3053414538820127,0.222967058631559,4.02002313547624,0.6857142857142857,strong,C18_negative
C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.2969685838782465,0.2524896065033445,4.762045477309069,0.7333333333333333,strong,C18_negative
C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.2766531357020237,0.1185701538204949,4.814761453344697,0.6666666666666666,strong,C18_negative
C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,0.2736819199549345,0.1303990067133072,5.39905674776192,0.3238095238095238,strong,C18_positive
HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,0.2735915865212994,0.3082496192052709,5.437598027767486,0.6190476190476191,strong,HILICZ_positive
C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,0.2727503224613515,0.1786393737284873,4.541830003868004,0.2666666666666666,strong,C18_positive
HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.2720919790712675,0.199319385053436,5.529142906970132,0.5523809523809524,strong,HILICZ_negative
C18_negative|NAME:,0.2650097342725083,0.169944719733242,0.7344714452320016,0.0,strong,C18_negative
C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.2640203713838597,0.1110908949995884,5.13155098539792,0.4285714285714285,strong,C18_negative
C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,0.2620412696069847,0.4471538971121017,3.798989185430501,0.6857142857142857,strong,C18_positive
C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,0.2615830480900428,0.2128384579970234,5.347448841397111,0.5523809523809524,strong,C18_positive
C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,0.2603697715957868,0.2550284927991596,4.381380065923216,0.3428571428571428,strong,C18_negative
C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.2593146794032556,0.1453921755127307,4.932485828177896,0.7047619047619048,strong,C18_positive
C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,0.2556883026118656,0.1020845849004932,5.121584714861911,0.6666666666666666,strong,C18_negative
C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,0.247555292126913,0.0772322918380719,4.098164620883352,0.2095238095238095,strong,C18_negative
C18_positive|IK:PRYIJAGAEJZDBO-ZEQHCUNVSA-N,0.2451674493001931,0.1511510184392199,4.388686389435369,0.7619047619047619,strong,C18_positive
HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.2366296121463797,0.1869739109287106,5.6813788718906455,0.6857142857142857,strong,HILICZ_positive
C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.2349304611463151,0.1762136154694377,4.590958074348458,0.6190476190476191,strong,C18_negative
C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,0.2344890837778659,0.0687374855000466,5.478952623556163,0.3333333333333333,strong,C18_negative
HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,0.2329618601360464,0.2202970325916977,5.365829040430681,0.3809523809523809,strong,HILICZ_negative
C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.2318497659330936,0.1316528884536706,1.8376026240747425,0.0095238095238095,strong,C18_positive
HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,0.2270229306338781,0.0924575328181334,5.104090535939422,0.7904761904761904,strong,HILICZ_positive
C18_negative|IK:PVWALMCXZUMCBB-UHFFFAOYSA-N,0.2246797760039375,0.2067363376996802,3.813844017489074,0.7714285714285715,strong,C18_negative
C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,0.2243505115430345,0.166137043761818,5.80575229197491,0.6952380952380952,strong,C18_positive
C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.2236252436080125,0.1339209077151154,5.215060865829413,0.5523809523809524,strong,C18_positive
HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,0.2227711940741483,0.1757498706180363,6.472108808884839,0.6095238095238096,strong,HILICZ_negative
C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,0.2201135287214099,0.2274380310221471,4.884599896739007,0.7047619047619048,strong,C18_positive
HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.2173161140882535,0.1093685416401622,6.483149189177851,0.6,strong,HILICZ_negative
HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.2172548423729157,0.3309888684293559,6.001772120624912,0.4476190476190476,strong,HILICZ_negative
HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.2157834582559838,0.1579762869295995,5.507193575996668,0.7238095238095238,strong,HILICZ_negative
C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,0.2118162016261878,0.2376486412367919,5.037900615407628,0.6571428571428571,strong,C18_negative
C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,0.2016672258784416,0.1255562474234366,4.863827195789212,0.2857142857142857,strong,C18_negative
HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,0.2012817311099015,0.1487961993508986,7.419955884111381,0.7047619047619048,strong,HILICZ_positive
HILICZ_negative|IK:PAZGBAOHGQRCBP-DDDNOICHSA-N,0.1964347983959235,0.0887812344832221,5.519221673964457,0.5333333333333333,strong,HILICZ_negative
C18_negative|IK:AJFTWGKYXHISKT-UHFFFAOYSA-N,0.1943430272070624,0.2150154261479603,5.279444258596362,0.4666666666666667,strong,C18_negative
C18_positive|IK:IPQOBEBHJDIMQR-UHFFFAOYSA-N,0.1940907890678014,0.2133107908782335,3.314190121797604,0.8476190476190476,strong,C18_positive
